Law-Name,Category,Chapter,Article-Category,Article-Number,Article-Description,Punishment
Defamation offence: Public Insult,,,Petty Offence,161,"
Publicly insulting another
person using signs, practices,
statements, or written
documents. ","15 days to 2 months
imprisonment, fine between
FRW 100,000 and FRW
200,000, or community
service for up to 15 days. "
"Prosecution
for Intimate
Privacy
Offences ",,,"Legal
procedure  ",162,"Privacy offences are only
prosecuted at the request of the
victim or their legal
representative. ","Based on victim’s request
for prosecution."
Theft,,,Misdemeanour,166,Unlawful taking of property belonging to another.,"1–2 years imprisonment, fine of FRW 1,000,000–2,000,000, 6 months community service or only one of these"
Aggravated Theft,,,Misdemeanour,167,"Theft committed under aggravating circumstances (e.g. burglary, night, multiple offenders).",Penalty for theft doubles as per base in Article 166.
Theft with Violence or Threats,,,Felony,168,Theft involving violence or threats.,"5–7 years imprisonment + FRW 3,000,000–5,000,000 fine. Higher penalties if it causes injury or death"
Motor Vehicle Theft Across Borders,,,Felony,169,Stealing vehicle to transfer it to another country.,">5–7 years imprisonment, fine FRW 5,000,000–10,000,000."
Armed Robbery,,,Felony,170,Theft committed with a weapon.,"10–15 years imprisonment, FRW 5,000,000–7,000,000 fine."
Aggravated Armed Robbery,,,Felony,170,"Armed robbery by multiple persons, with used weapon or in dwelling.","15–20 years imprisonment + FRW 5,000,000–7,000,000 fine."
Armed Robbery causing death/organized gang,,,Felony,170,Armed robbery leading to death or committed by gang.,Life imprisonment.
Extortion,,,Misdemeanour,171,Forcing someone through violence/coercion to give gain/signature/fingerprint,"3–5 years imprisonment + FRW 3,000,000–5,000,000 fine."
Fraudulent Retention of Found Property,,,Petty Offence,172,Keeping lost item intentionally or giving it to someone else.,"Fine FRW 300,000–500,000 or 15–30 days community service."
Forging/Altering Keys,,,Misdemeanour,173,Fraudulent key forging or using master key.,"6 months–1 year imprisonment + FRW 500,000–1,000,000 fine or only one of these."
Forging/Altering Keys by Locksmith,,,Misdemeanour,173,Fraudulent key forging or using master key committed by a locksmith.,">1–2 years imprisonment + FRW 1,000,000–2,000,000 fine."
Fraud,,,Misdemeanour,174,Deceiving someone to obtain money/property via false identity or promises.,"2–3 years imprisonment + FRW 3,000,000–5,000,000 fine."
Fraud by Issuing Securities,,,Misdemeanour,174,"Fraud related to issuing shares, securities, vouchers, etc.","3–5 years imprisonment + FRW 5,000,000–7,000,000 fine."
Non-payment of Bills,,,Petty Offence,175,Ordering non-returnable items knowingly unable to pay.,"15 days–2 months imprisonment + FRW 100,000–200,000 fine or max 15 days community service."
Breach of Trust,,,Misdemeanour,176,"Misuse of entrusted property (embezzling, misusing, giving it away).","3–5 years imprisonment + FRW 500,000–1,000,000 fine."
Selling or Pledging Another Person’s Property,,,Misdemeanour,177,Selling/pledging property one does not own.,"1–2 years imprisonment + FRW 500,000–1,000,000 fine."
Destruction of Mortgaged Property,,,Misdemeanour,177,Debtor/creditor destroys/embezzles mortgaged property.,"1–2 years imprisonment + FRW 1,000,000–2,000,000 fine."
Genocide,,,Felony,91,"Acts committed with intent to destroy a national, ethnic, racial, or religious group. Includes killing, serious harm, destruction of life conditions, preventing births, or forcible transfer of children.",Life imprisonment without possibility of mitigation.
Conspiracy to Commit Genocide,,,Felony,93,Agreement between persons to commit genocide.,Life imprisonment.
Planning of Genocide,,,Felony,93,Pre-arranged design to commit genocide.,Life imprisonment
Direct or Indirect Incitement to Genocide,,,Felony,93,Provoking or encouraging others to commit genocide.,Life imprisonment
Attempt to Commit Genocide,,,Felony,93,Taking steps towards the execution of genocide without completing it.,Life imprisonment
Complicity in Genocide,,,Felony,93,Assisting or aiding in the commission of genocide.,Life imprisonment
Crime Against Humanity: Murder,,,Felony,94,Intentional killing as part of a widespread or systematic attack on civilians.,Life imprisonment
Crime Against Humanity: Extermination,,,Felony,94,Mass killing of peaple,Life Imprisonment
Crime Against Humanity: Enslavement,,,Felony,94,Exercising powers of ownership over a person.,Life imprisonment.
Crime Against Humanity: Deportation/Transfer,,,Felony,94,Forcibly removing persons from their lawful homes.,20–25 years imprisonment; Life imprisonment if with degrading treatment.
Crime Against Humanity: Unlawful Imprisonment,,,Felony,94,Severe deprivation of liberty contrary to law.,20–25 years imprisonment; Life imprisonment if with degrading treatment.
Crime Against Humanity: Torture,,,Felony,94,Severe pain or suffering inflicted intentionally.,Life imprisonment
Crime Against Humanity: Sexual Violence,,,Felony,94,"Acts such as rape, sexual slavery, forced prostitution, or sterilization.",Life imprisonment.
Crime Against Humanity: Persecution,,,Felony,94,"Severe deprivation of rights due to politics, religion, or ethnicity.",20–25 years imprisonment; Life imprisonment if with degrading treatment.
Crime Against Humanity: Enforced Disappearance,,,Felony,94,Abduction with refusal to disclose fate or whereabouts.,Life imprisonment.
Crime Against Humanity: Apartheid,,,Felony,94,Inhuman acts committed to establish and maintain domination by one racial group.,20–25 years imprisonment; Life imprisonment if with degrading treatment.
Crime Against Humanity: Other Inhumane Acts,,,Felony,94,Similar acts causing great suffering or serious injury.,Life imprisonment
Gusambanya umwana,,,ibyaha bishingiye kugitsina,ingingo ya 133(1)," Kwinjiza  imyanya  ndangagitsina /  igice
cyumubiri /  ikintu  mu  gitsina  cyumwana,
anus,  cyangwa  umunwa;  igikorwa  icyo
aricyo  cyose  cyo  kwishimira  umubiri.","Igifungo  cy'imyaka  20-25.
 Igifungo  cya  burundu  niba  umwana
ari  munsi  yimyaka  14  cyangwa
niba  biviramo  uburwayi /
ubumuga  budakira."
"  Byiyongereye
gusambanye
 umwana birenze",,,ibyaha bishingiye kugitsina,ingingo ya 133 (2),"iyo byakorewe  umwana  uri  munsi  yimyaka  14.
bikaba byamuviramo  uburwayi  budakira
cyangwa  ubumuga.
 Cyangwa  ugakurikirwa  no  kubana
nkumugabo  numugore.",uhanishwa Igifungo cya burundu
" Gukoresha undi
imibonano mpuzabitsina ku gahato ",,,ibyaha bishingiye kugitsina,ingingo ya 134(1),"Guhuza  ibitsina  ku  gahato  cyangwa
kwinjira  ku  gahato,  iterabwoba,  amayeri,
ubutware,  cyangwa  intege  nke
z'uwahohotewe."," Iyo uhamwe niki cyaha uhanishwa Igifungo  cyimyaka  10-15  +  ihazabu
(FRW  1.000.000
FRW  2.000.000).  Ibihano  bihanitse
kubintu  byihariye."
"Gukoresha undi
imibonano mpuzabitsina ku gahato  ariko kuburyo bukabije",,,ibyaha bishingiye kugitsina,ingingo ya 134(2),"Iyo gukoresha imibonano mpuzabitsina ku
gahato byakozwe ku muntu ufite hejuru
y’imyaka mirongo itandatu n’itanu (65), ku
muntu ufite ubumuga cyangwa uburwayi
butuma adashobora kwirwanaho","igihano
kiba igifungo kirenze imyaka cumi n’itanu
(15) ariko kitageze ku myaka makumyabiri
(20) n’ihazabu y’amafaranga y’u Rwanda
atari munsi ya miliyoni imwe (1.000.000
FRW) ariko atarenze miliyoni ebyiri
(2.000.000 FRW). "
"Gukoresha undi
imibonano mpuzabitsina ku gahato  ariko kuburyo bukabije cyane",,,ibyaha bishingiye kugitsina,ingingo ya 134(3),"Iyo gukoresha imibonano mpuzabitsina ku
gahato byateye indwara idakira cyangwa
ubumuga, "," uwabikoze ahanishwa igifungo
kirenze imyaka makumyabiri (20) ariko
itarenze imyaka makumyabiri n’itanu (25)
n’ihazabu y’amafaranga y’u Rwanda atari
munsi y’ibihumbi magana atanu (500.000
FRW) ariko atarenze miliyoni imwe
(1.000.000 FRW)."
"Gukoresha undi
imibonano mpuzabitsina ku gahato  ariko kuburyo bukabije cyane",,,ibyaha bishingiye kugitsina,ingingo ya 134(4)," Iyo byakozwe n’abantu barenze umwe;
byateye urupfu uwabikorewe;
 byakozwe ku muntu bafitanye isano kugeza ku gisanira cya kabiri;
 byakozwe cyangwa hagamijwe kumwanduza indwara idakira","Igihano kiba igifungo cya burundu iyo
gukoresha imibonano mpuzabitsina ku
gahato:"
Urukozasoni,,,ibyaha bishingiye kugitsina,ingingo ya 135 (1),"Umuntu wese ukora igikorwa gikoza isoni
mu buryo ubwo aribwo bwose ku mubiri
w’undi, nyiri ukubikorerwa atabishaka, ","Umuntu wese uhamijwe n’urukiko gukora
icyaha cy’urukozasoni, ahanishwa igifungo
kitari munsi y’umwaka umwe (1) ariko
kitarenze imyaka ibiri (2) n’ihazabu
y’amafaranga y’u Rwanda atari munsi
y’ibihumbi ijana (100.000 FRW) ariko
atarenze ibihumbi magana atatu (300.000
FRW)."
"Urukozasoni  ariko
birenze urugero",,,ibyaha bishingiye kugitsina,ingingo ya 135 (2),"Iyo icyaha cy’ urukozasoni
Cyakorewe mu ruhame","ahanishwa
igifungo kitari munsi y’imyaka ibiri (2)
ariko kitarenze imyaka itatu (3) n’ihazabu
y’amafaranga y’u Rwanda atari munsi
y’ibihumbi magana atanu (500.000 FRW)
ariko atarenze miliyoni imwe (1.000.000 FRW)"
"Urukozasoni
(hamwe
nimpamvu
zongera  ububi)",,,ibyaha bishingiye kugitsina,ingingo ya 135 (2),"Uwakoze  icyaha  ni  mwene  wabo,
umwarimu,  umuntu  ufite
ububasha,  abaganga,
cyangwa  ibikangisho /  imbaraga.","ibihano byavuzwe haruguru
 byikuba Inshuro  ebyiri "
Ubusambanyi,,,"Ibyaha binyuranyije
n’imyifatire myiza ",ingingo ya 136,"Imibonano mpuzabitsina
nundi muntu utari uwo uwo
 mwashakanye."," Iyo abihamijwe n’urukiko ahanishwa igifungo
kitari munsi y’amezi atandatu (6) ariko
kitarenze umwaka umwe (1).
Gusa Gukurikirana  icyaha cy’ubusambanyi
ntibishobora kuba hatareze uwahemukiwe
mu bashyingiranywe ku buryo bwemewe
n’amategeko. "
"Guhohotera bishingiye
ku gitsina uwo bashyingiranywe ",,,"Ibyaha binyuranyije
n’imyifatire myiza ",ingingo ya 137,"
Umuntu wese ukorera uwo bishyingiranywe
igikorwa cy’ihohotera kibabaza umubiri
kandi gishingiye ku gitsina, aba akoze
icyaha","Iyo abihamijwe n’urukiko,
ahanishwa igifungo kitari munsi y’imyaka
itatu (3) ariko kitarenze imyaka itanu (5). "
Ubushoreke,,,"Ibyaha binyuranyije
n’imyifatire myiza ",Ingingo ya 138,"Umuntu ubana nk’umugabo n’umugore
n’uwo batashyingiranywe umwe muri bo
cyangwa bombi bafite uwo
bashyingiranywe, aba akoze icyaha.","Iyo abihamijwe n’urukiko, ahanishwa igifungo
kirenze umwaka umwe (1) ariko kitarenze
imyaka ibiri (2).
"
Guta urugo,,,"Ibyaha binyuranyije
n’imyifatire myiza ",Ingingo  ya 139,"Umwe mu bashyingiranywe uta urugo rwe mu gihe kirenze amezi abiri (2) nta mpamvu zikomeye akihunza ibyo ategetswe, cyangwa umugabo utaye
umugore we ku bushake, nta mpamvu
ikomeye, mu gihe kirenze ukwezi kumwe (1) azi ko atwite.aba akoze icyaha.  Icyakora,  kutabana bitewe n’uko umwe mu bashyingiranywe afashwe nabi ntabwo byitwa guta urugo mu gihe yagiye abimenyesheje ubuyobozi bumwegereye bigakorerwa inyandiko.  ","Iyo abihamijwe n’urukiko, ahanishwa
igifungo kitari munsi y’amezi atatu (3)
ariko kitarenze amezi atandatu (6)."
"

Gukora amasezerano yo gushyingirwa andi ataraseswa cyangwa
kwakira bene ayo masezerano ",,,"Ibyaha binyuranyije
n’imyifatire myiza ",Ingingo ya 141,"
Umuntu wese ukora amasezerano yo gushyingirwa aya mbere agifite agaciro; ushyingirwa azi neza ko uwo
bashyingiranwa afite amasezerano yo
gushyingirwa ataraseswa; uwakira amasezerano yo gushyingirwa azi
neza ko ushyingirwa afite andi masezerano; aba akoze icyaha.","Umuntu uhamijwe n’urukiko gukora
kimwe mu bikorwa bivugwa mu gika cya
mbere cy’iyi ngingo, ahanishwa igihano
cy’igifungo kitari munsi y’umwaka umwe
(1) ariko kitarenze imyaka ibiri (2)
n’ihazabu y’amafaranga y’u Rwanda atari
munsi y’ibihumbi magana atatu (300.000
FRW) ariko atarenze ibihumbi magana
atanu (500.000 FRW)."
" Gukora igikorwa
gishingiye ku gitsina ku nyamaswa  ",,,ibyaha bishingiye kugitsina,Ingingo ya 142(1),"Umuntu wese ukora igikorwa gishingiye ku gitsina ku nyamaswa, aba akoze icyaha.","Iyo abihamijwe n’urukiko, ahanishwa igifungo
kitari munsi y’amezi atandatu (6) ariko
kitarenze umwaka umwe (1)."
gukora imibonano mpuzabitsina kunyamaswa bitewe n' undi muntu,,,ibyaha bishingiye kugitsina,Ingingo ya 142(2),"Umuntu wese, mu buryo ubwo ari bwo
bwose, utuma undi akora igikorwa
gishingiye ku gitsina ku nyamaswa, ","ahanishwa igihano cy’igifungo kitari munsi
y’imyaka irindwi (7) ariko kitarenze imyaka icumi (10) n’ihazabu y’amafaranga
y’u Rwanda atari munsi ya miliyoni eshatu
(3.000.000 FRW) ariko atarenze miliyoni
eshanu (5.000.000 FRW)"
"Gukora ibiterasoni mu
ruhame ",,,"Ibyaha binyuranyije
n’imyifatire myiza ",Ingingo ya 143,Umuntu wese ukora ibiterasoni mu ruhame aba akoze icyaha.,Iyo abihamijwe n’urukiko ahanishwa igihano cy’igifungo kitari munsi y’amezi atandatu (6) ariko kitarenze imyaka ibiri (2).
" Kwinjira aho umuntu
atuye mu buryo butemewe ",,,"IBYAHA BIBANGAMIRA
IMIBEREHO BWITE Y’ABANTU",Ingingo ya 155 (1),"Uretse mu bihe biteganywa n’amategeko,
umuntu wese winjira mu rugo, mu nzu, mu
cyumba cyangwa mu icumbi rituwemo
n’undi muntu, atabyemerewe n’uhatuye aba
akoze icyaha.","Iyo abihamijwe n’urukiko,
ahanishwa igifungo kitari munsi y’amezi
abiri (2) ariko kitageze ku mezi atandatu (6)
n’ihazabu y’amafaranga y’u Rwanda atari
munsi y’ibihumbi magana atanu (500.000
FRW) ariko atarenze miliyoni imwe
(1.000.000 FRW)."
" Kwinjira aho umuntu
atuye mu buryo butemewe (Kugahato)",,,"IBYAHA BIBANGAMIRA
IMIBEREHO BWITE Y’ABANTU",Ingingo ya 155 (2),"Iyo kwinjira aho umuntu atuye byakoreshejwe ibikangisho, guca icyuho cyangwa gufunguza
imfunguzo zidakoreshejwe na nyirazo."," igihano kiba
igifungo kitari munsi y’imyaka itatu (3)
ariko kitarenze imyaka itanu (5) n’ihazabu
y’amafaranga y’u Rwanda arenze miliyoni
imwe (1.000.000 FRW) ariko atageze kuri
miliyoni ebyiri (2.000.000 FRW) cyangwa
kimwe gusa muri ibyo bihano. "
" Kumviriza ibiganiro,
gufata amashusho cyangwa kubitangaza ",,,"IBYAHA BIBANGAMIRA
IMIBEREHO BWITE Y’ABANTU",Ingingo ya 156 (1),"Umuntu wese, ku bw’inabi, mu buryo ubwo
ari bwo bwose, wivanga mu mibereho
bwite y’undi akoresheje:
1º kumviriza cyangwa gutangaza amagambo
abantu bavugiye mu muhezo atabiherewe
uruhushya;
2º gufata ifoto, amajwi cyangwa amashusho
cyangwa kubitangaza nyirayo atabitangiye
uruhushy. aba akoze icyaha"," uwo iki cyaha gihamye ahanishwa igifungo
kitari munsi y’amezi atandatu (6) ariko
kitarenze umwaka umwe (1) n’ihazabu
y’amafaranga y’u Rwanda atari munsi ya
miliyoni imwe (1.000.000 FRW) ariko
atarenze miliyoni ebyiri (2.000.000 FRW)
cyangwa kimwe gusa muri ibyo bihano. "
" Gutangaza amagambo
cyangwa amashusho binyuranye n’uko
byafashwe ",,,"IBYAHA BIBANGAMIRA
IMIBEREHO BWITE Y’ABANTU",Ingingo ya 157,"Umuntu wese utangaza, ku bw’inabi
hakoreshejwe uburyo ubwo ari bwo bwose,
amagambo yahinduwe agatangazwa uko
atavuzwe cyangwa amashusho n’amafoto
by’umuntu byagaragajwe uko bitafashwe,
ntagaragaze ko binyuranyije n' uko byafashwe, aba akoze icyaha. ","Iyo abihamijwe n’urukiko, ahanishwa
igifungo kitari munsi y’amezi atandatu (6)
ariko kitarenze umwaka umwe (1) n’ihazabu y’amafaranga y’u Rwanda atari munsi ya miliyoni imwe (1.000.000 FRW) ariko atarenze miliyoni ebyiri (2.000.000 FRW)."
Kumena ibanga ry’akazi,,,"IBYAHA BIBANGAMIRA
IMIBEREHO BWITE Y’ABANTU",Ingingo ya 158,"Umuntu wese umena ibanga kandi
ashinzwe kuribika, ku mpamvu z’akazi,
z’umwuga cyangwa z’idini, yaba akiri mu kazi cyangwa yarakavuyemo, aba akoze
icyaha. ","Iyo abihamijwe n’urukiko, ahanishwa
igifungo kitari munsi y’umwaka umwe (1)
ariko kitarenze imyaka ibiri (2) n’ihazabu
y’amafaranga y’u Rwanda atari munsi ya
miliyoni ebyiri (2.000.000 FRW) ariko
atarenze miliyoni eshatu (3.000.000 FRW)."
" Ibyaha bikorerwa
ubutumwa mu nzira zitandukanye
z’itumanaho ",,,"IBYAHA BIBANGAMIRA
IMIBEREHO BWITE Y’ABANTU",ingingo ya 159,"Umuntu wese ukoresha uburiganya, mu
buryo ubwo ari bwo bwose, mu gufungura,
kurigisa, gutinza, kuyobya amabaruwa
cyangwa izindi nyandiko byageze iyo bijya
cyangwa bitaragerayo aba akoze icyaha","cyangwa bitaragerayo aba akoze icyaha.
Iyo abihamijwe n’urukiko, ahanishwa
igifungo kitari munsi y’umwaka umwe (1)
ariko kitarenze imyaka ibiri (2) n’ihazabu
y’amafaranga y’u Rwanda atari munsi ya miliyoni imwe (1.000.000 FRW) ariko
atarenze miliyoni eshatu (3.000.000 FRW). "
" Gukusanya amakuru
yerekeye abantu muri za mudasobwa ",,,"IBYAHA BIBANGAMIRA
IMIBEREHO BWITE Y’ABANTU",ingingo ya 160,"Umuntu wese ku bw’inabi ufata amajwi,
ukusanya amakuru yerekeye umuntu,
ushyingura cyangwa ukoresha ubundi
buryo bwo kubika muri za mudasobwa
n’ibindi byuma kabuhariwe amakuru
y’umuntu cyangwa ibiranga umuntu ku
buryo byagira ingaruka mbi ku cyubahiro
cyangwa ku mibereho ye bwite, aba akoze
icyaha.","Iyo abihamijwe n’urukiko, ahanishwa
igifungo kitari munsi y’amezi atandatu (6)
ariko kitarenze umwaka umwe (1) n’ihazabu y’amafaranga y’u Rwanda atari munsi ya miliyoni imwe (1.000.000 FRW) ariko atarenze miliyoni ebyiri (2.000.000 FRW). "
Gutukana mu ruhame,,,gusebanya,Ingingo ya 161,"Umuntu wese utuka undi mu ruhame aba
akoze icyaha. gutukana bivugwa ni ikimenyetso, imigenzereze, ijambo cyangwa inyandiko bigambiriye gukomeretsa umuntu ku
bushake kandi ku buryo butaziguye.  "," Iyo abihamijwe n’urukiko,
ahanishwa igifungo kitari munsi y’iminsi
cumi n’itanu (15) ariko kitarenze amezi
abiri (2); ihazabu y’amafaranga y’u
Rwanda atari munsi y’ibihumbi ijana
(100.000 FRW) ariko atarenze ibihumbi
magana abiri (200.000 FRW); imirimo
y’inyungu rusange mu gihe kitarenze iminsi
cumi n’itanu  (15) cyangwa kimwe gusa
muri ibyo bihano. "
" Ikurikirana ry’ibyaha
bibangamira imibereho bwite y’abantu ",,,,Ingingo ya 162,"Ibyaha bivugwa muri uyu mutwe
ntibishobora gukurikiranwa bidasabwe
n’uwahemukiwe, umuhagarariye mu buryo bwemewe  cyangwa umufiteho uburenganzira n’amategeko  ",
Kwiba,,,Icyaha gikomeye,ingingo ya 166,"Gutwara ikintu cy’undi atabiherewe uburenganzira, agamije kukigira icye cyangwa kugikoresha"," Iyo abihamijwe n’urukiko,
ahanishwa Igifungo cyitari mwaka 1 ariko kitarenze 2 imyaka; Ihazabu: 1,000,000–2,000,000 FRW; Imirimo y’inyungu rusange: amezi 6 cyangwa kimwe muri ibyo"
Kwiba hakoreshejwe intwaro,,,Icyaha cy’ubugome,ingingo ya 169,Kwiba witwaje intwaro ishobora kwica cyangwa gukomeretsa,"Igifungo: 10–15 imyaka; Ihazabu: 5,000,000–7,000,000 FRW"
Kwiba nijoro,,,Icyaha gikomeye,ingingo ya 167,Kwiba hagati ya saa 6:00 z’umugoroba na saa 6:00 z’igitondo,"Igihano cyikuba kabiri: Igifungo: 2–4 imyaka; Ihazabu: 2,000,000–4,000,000 FRW"
Kwiba hakoreshejwe kiboko cyangwa ibikangisho,,,Icyaha cy’ubugome,ingingo ya 168,Kwiba ukoresheje imbaraga cyangwa ibikangisho,"Igifungo: 5–7 imyaka; Ihazabu: 3,000,000–5,000,000 FRW"
Kwiba ikinyabiziga kigamije kukijyana mu kindi gihugu,,,Icyaha gikomeye,ingingo ya 169,Kwiba ikinyabiziga gifite moteri agamije kukijyana mu kindi gihugu,"Igifungo: 5–7 imyaka; Ihazabu: 5,000,000–10,000,000 FRW"
Kwihesha ikintu cy’undi hakoreshejwe uburiganya,,,Icyaha gikomeye,ingingo ya 174,Kwihesha umutungo w’undi mu buryo bw’uburiganya,"Igifungo: 2–3 imyaka; Ihazabu: 3,000,000–5,000,000 FRW"
Kwaka ikitari bwishyurwe,,,Icyaha cyoroheje,ingingo ya 175,Kwaka ikintu uzi neza ko utazishyura,"Igifungo: iminsi 15–amezi 2; Ihazabu: 100,000–200,000 FRW; Imirimo y’inyungu rusange: iminsi 15 cyangwa kimwe muri ibyo"
Kugumana ku bw’uburiganya ikintu cy’undi cyatoraguwe,,,Icyaha gikomeye,ingingo ya 172,"Kugumana cyangwa guha abandi ikintu cy’undi wabonye ku buryo bumugwiririye, ku bw’uburiganya","Igifungo: 6 amezi–2 imyaka; Ihazabu: 50,000–300,000 FRW"
Kwigana cyangwa guhindura imfunguzo,,,Icyaha gikomeye,ingingo ya 173,Kwigana cyangwa guhindura imfunguzo mu buryo bw’uburiganya,"Igifungo: 6 amezi–1 mwaka; Ihazabu: 500,000–1,000,000 FRW"
Kugurisha ikintu cy’undi cyangwa kugitangaho ingwate,,,Icyaha gikomeye,ingingo ya 177,Kugurisha cyangwa gutangaho ingwate ikintu uzi ko atari icyawe,"Igifungo: 1–2 imyaka; Ihazabu: 500,000–1,000,000 FRW"
Kurigisa cyangwa kwangiza ibyatanzweho ingwate,,,Icyaha gikomeye,ingingo ya 178,Kurigisa cyangwa kwangiza ibitanzweho ingwate,"Igifungo: 1–2 imyaka; Ihazabu: 1,000,000–2,000,000 FRW"
Ubuhemu,,,Icyaha gikomeye,ingingo ya 176,"Gukoresha nabi ikintu cyahawe cyangwa yakirindishijwe, akacyigarurira cyangwa akagitagaguza","Igifungo: 3–5 imyaka; Ihazabu: 500,000–1,000,000 FRW"
Icyaha cya Jenoside,,,Icyaha cy’ubugome,91,Gukora kimwe mu bikorwa 5 bigamije kurimbura igice cyangwa abantu bose b'itsinda runaka,uhamwe niki cyaha ahanishwa Igifungo cya burundu kidashobora kugabanywa
Icyaha cyo Gucura umugambi wa Jenoside,,,Icyaha cy’ubugome,93,Gucura umugambi wo gukora Jenoside,Uhamwe niki cyaha ahanisha Igifungo cya burundu
